"species","lat","lon"
"Bertholletia excelsa",-4.547717,-55.914472
"Bertholletia excelsa",-7.754888,-55.203627
"Bertholletia excelsa",-8.525926,-55.104246
"Bertholletia excelsa",-4.123301,-54.984464
"Bertholletia excelsa",-6.318412,-55.586352
"Bertholletia excelsa",-6.001006,-55.689121
"Bertholletia excelsa",-1.183333,-60.566667
"Bertholletia excelsa",-10.433333,-59.45
"Bertholletia excelsa",-10.43,-59.45
"Bertholletia excelsa",-10.4333,-59.45
"Bertholletia excelsa",2.66666,-64.61666
"Bertholletia excelsa",2.666667,-64.616667
"Bertholletia excelsa",2.67,-64.62
"Bertholletia excelsa",2.66667,-64.6167
"Bertholletia excelsa",-0.4,-65.033333
"Bertholletia excelsa",-0.716667,-52.516667
"Bertholletia excelsa",-9.7,-65.533333
"Bertholletia excelsa",-12.6,-69.183333
"Bertholletia excelsa",-12.6,-69.18
"Bertholletia excelsa",-3.48,-73.17
"Bertholletia excelsa",-0.033333,-67.266667
"Bertholletia excelsa",-0.03,-67.27
"Bertholletia excelsa",-5.9,-76.083333
"Bertholletia excelsa",-5.9,-76.08
"Bertholletia excelsa",-9.234167,-56.990278
"Bertholletia excelsa",-3.483333,-73.166667
"Bertholletia excelsa",-7.516667,-63.033333
"Bertholletia excelsa",-8.929167,-62.091111
"Bertholletia excelsa",2.60555,-72.63611
"Bertholletia excelsa",-10.967,-65.967
"Bertholletia excelsa",-9.25472,-64.66194
"Bertholletia excelsa",-12.6,-69.183
"Bertholletia excelsa",-11.75,-66.033
"Bertholletia excelsa",-11.733,-67.983
"Bertholletia excelsa",-11.601944444,-67.94583333
"Bertholletia excelsa",2.3,-58.316666
"Bertholletia excelsa",-0.408888888888889,-65.0486111111111
"Bertholletia excelsa",-12.017,-68.283
"Bertholletia excelsa",2.667,-64.617
"Bertholletia excelsa",0.65,-69.7166666666667
"Bertholletia excelsa",-11.033,-66.25
"Bertholletia excelsa",1.477197,-61.005571
"Bertholletia excelsa",-12.45,-67.617
"Bertholletia excelsa",-6.50698,-64.55197
"Bertholletia excelsa",-11.867,-71.35
"Bertholletia excelsa",-3.133,-68.017
"Bertholletia excelsa",-0.4,-65.033
"Bertholletia excelsa",-3.483,-73.167
"Bertholletia excelsa",2.183,-65.1
"Bertholletia excelsa",-3.383,-60.267
"Bertholletia excelsa",-11.8866666,-71.4094444
"Bertholletia excelsa",-9.540611,-55.885528
"Bertholletia excelsa",-9.933,-63.067
"Bertholletia excelsa",-1.947,-48.20383
"Bertholletia excelsa",-1.92875,-48.20257
"Bertholletia excelsa",-1.92672,-48.19904
"Bertholletia excelsa",-1.92671,-48.19895
"Bertholletia excelsa",-1.93943,-48.20875
"Bertholletia excelsa",-1.93945,-48.20862
"Bertholletia excelsa",-1.93944,-48.20853
"Bertholletia excelsa",-1.93935,-48.20803
"Bertholletia excelsa",-1.97497,-48.34613
"Bertholletia excelsa",-2.0082,-48.33676
"Bertholletia excelsa",-2.02105,-48.33061
"Bertholletia excelsa",-2.02172,-48.33015
"Bertholletia excelsa",-2.02176,-48.33004
"Bertholletia excelsa",-2.02152,-48.32987
"Bertholletia excelsa",-2.02164,-48.32927
"Bertholletia excelsa",-2.02322,-48.32504
"Bertholletia excelsa",-2.02303,-48.32542
"Bertholletia excelsa",-2.02289,-48.32499
"Bertholletia excelsa",-2.02298,-48.32491
"Bertholletia excelsa",-2.02308,-48.32517
"Bertholletia excelsa",-2.02304,-48.32526
"Bertholletia excelsa",-2.03084,-48.33396
"Bertholletia excelsa",-2.04726,-48.33613
"Bertholletia excelsa",-1.94469,-48.18829
"Bertholletia excelsa",-1.94175,-48.18635
"Bertholletia excelsa",-1.94308,-48.18558
"Bertholletia excelsa",-1.9445,-48.18341
"Bertholletia excelsa",-1.94446,-48.18339
"Bertholletia excelsa",-1.94512,-48.18402
"Bertholletia excelsa",-1.94556,-48.18353
"Bertholletia excelsa",-1.94622,-48.18325
"Bertholletia excelsa",-1.9463,-48.18321
"Bertholletia excelsa",-1.94629,-48.18323
"Bertholletia excelsa",-1.94643,-48.1808
"Bertholletia excelsa",-1.94664,-48.18078
"Bertholletia excelsa",-1.94374,-48.1843
"Bertholletia excelsa",-1.94374,-48.18426
"Bertholletia excelsa",-1.74782,-48.42149
"Bertholletia excelsa",-1.69947,-48.42684
"Bertholletia excelsa",-1.94369,-48.18423
"Bertholletia excelsa",-1.94519,-48.18384
"Bertholletia excelsa",-1.94538,-48.1834
"Bertholletia excelsa",-1.94545,-48.18338
"Bertholletia excelsa",-1.94644,-48.18315
"Bertholletia excelsa",-1.74572,-48.11972
"Bertholletia excelsa",-1.71247,-48.25144
"Bertholletia excelsa",-1.73967,-48.23676
"Bertholletia excelsa",-2.04136,-48.07356
"Bertholletia excelsa",-2.04477,-48.07095
"Bertholletia excelsa",-1.97235,-48.21041
